budget,runtime,year,vote_average,popularity,profitable,Horror,Drama,google_trend
-0.5921,-1.2152,-0.622,-0.3208,-0.4672,1,2.0712,-0.7505,-0.7254
-0.5921,0.8228,-0.622,-0.284,-0.4988,1,-0.4817,1.3293,-0.4198
-0.5921,-0.6814,-0.622,-1.1299,-0.5943,0,-0.4817,-0.7505,-0.3179
-0.6663,0.5317,-0.622,0.0093,-0.6283,0,-0.4817,1.3293,-0.4198
-0.7774,-1.6034,-0.622,-1.5493,-0.697,0,-0.4817,-0.7505,-0.4198
-0.7552,-1.0211,-0.622,-1.8326,-0.7093,0,-0.4817,-0.7505,-0.7254
0.1787,-0.924,-1.5345,-0.9825,-0.015,0,2.0712,-0.7505,-0.7254
-0.5032,-0.2932,-1.5345,0.6951,-0.6165,0,-0.4817,1.3293,-0.4198
0.6679,-0.9725,1.203,1.2547,2.3442,1,-0.4817,-0.7505,2.2291
-0.4439,-0.827,1.203,-0.1324,0.6264,0,-0.4817,1.3293,2.2291
-0.5921,-0.827,1.203,0.2346,0.3523,1,2.0712,-0.7505,1.1084
-0.5477,-0.4873,1.203,0.2927,0.2113,1,2.0712,-0.7505,2.2291
0.0008,0.4832,1.203,1.4007,0.1465,0,-0.4817,-0.7505,0.599
0.0749,-0.0021,1.203,-0.4824,0.1157,0,-0.4817,-0.7505,0.4971
0.3714,-0.0991,1.203,0.7985,-0.2545,1,-0.4817,1.3293,2.2291
0.1491,-0.9725,1.203,-0.3152,-0.2981,0,2.0712,-0.7505,2.2291
-0.2957,3.2005,1.203,-0.0545,-0.3938,0,-0.4817,-0.7505,1.1084
-0.77,-0.7299,1.203,0.2077,-0.4622,1,2.0712,-0.7505,1.1084
-0.2067,-0.5843,1.203,-0.9188,-0.499,0,-0.4817,-0.7505,1.1084
-0.3401,0.7743,1.203,1.1853,-0.5252,0,-0.4817,1.3293,0.4971
-0.2957,-0.4388,1.203,-0.8408,-0.589,0,-0.4817,1.3293,0.599
-0.2215,-0.2447,1.203,-0.3067,1.9371,0,-0.4817,-0.7505,1.1084
2.1503,4.5107,1.203,0.9926,1.6333,0,-0.4817,1.3293,1.4141
0.5938,-1.0696,1.203,0.7177,1.2912,1,-0.4817,-0.7505,1.4141
-0.518,-0.1476,1.203,1.2136,1.1782,1,2.0712,-0.7505,2.0254
-0.6218,0.9684,1.203,1.3256,0.4611,1,-0.4817,1.3293,2.0254
-0.3698,-0.0991,1.203,-1.1171,0.2901,1,2.0712,-0.7505,1.1084
-0.518,-0.1476,1.203,0.2275,-0.0142,1,-0.4817,1.3293,2.0254
-0.6663,0.6773,1.203,2.2763,-0.0624,1,-0.4817,1.3293,1.4141
-0.5921,2.7153,1.203,2.2281,-0.1431,1,-0.4817,-0.7505,1.4141
1.7797,0.2406,1.203,-0.2925,-0.3278,0,-0.4817,-0.7505,2.0254
-0.6366,0.2406,1.203,-1.212,-0.5728,0,-0.4817,-0.7505,1.1084
-0.2215,-0.3417,1.203,0.8934,-0.7053,0,-0.4817,1.3293,2.0254
1.7797,-0.8755,1.203,-0.4214,4.137,1,-0.4817,-0.7505,0.7009
3.2591,-0.3903,1.203,-0.8635,2.6329,0,-0.4817,-0.7505,0.4971
0.6679,2.133,1.203,0.5392,2.1257,1,-0.4817,1.3293,0.7009
1.6315,2.1815,1.203,-0.4455,2.0094,1,-0.4817,-0.7505,2.6366
-0.5921,-0.3417,1.203,-0.2741,0.4704,1,2.0712,-0.7505,0.7009
-0.6663,-0.5358,1.203,-0.0431,0.2388,1,-0.4817,-0.7505,0.4971
-0.518,0.192,1.203,-0.046,-0.0048,0,-0.4817,1.3293,0.7009
-0.518,0.8714,1.203,0.3876,-0.0123,1,-0.4817,1.3293,0.7009
-0.5773,0.192,1.203,0.7177,-0.1474,1,-0.4817,1.3293,0.4971
-0.6885,0.3861,1.203,1.2731,-0.1832,1,-0.4817,1.3293,0.9047
-0.607,-0.4388,1.203,-0.4795,-0.283,1,-0.4817,1.3293,0.7009
0.3714,0.7743,1.203,-0.5291,-0.3051,0,-0.4817,1.3293,2.6366
-0.7255,-0.6814,1.203,1.1966,-0.6442,1,-0.4817,1.3293,0.4971
-0.77,-0.4388,1.203,-2.116,-0.6567,1,-0.4817,-0.7505,1.4141
-0.7181,-0.0021,1.203,-1.5493,-0.6666,1,-0.4817,-0.7505,0.9047
2.8915,0.2891,0.2905,-0.454,0.9363,1,-0.4817,-0.7505,1.0066
-0.6663,-0.6814,0.2905,-0.1706,-0.221,0,2.0712,-0.7505,0.2934
-0.4587,0.6288,0.2905,1.0011,-0.2254,1,-0.4817,1.3293,0.3953
2.1503,0.4347,0.2905,0.2927,-0.2589,0,-0.4817,-0.7505,0.3953
0.5197,-0.3903,0.2905,0.6936,-0.2664,1,-0.4817,-0.7505,0.2934
0.1935,0.8228,0.2905,0.0986,-0.3558,1,2.0712,-0.7505,0.8028
-0.1474,-0.924,0.2905,-0.1324,-0.5519,0,-0.4817,-0.7505,0.3953
2.1503,1.4051,0.2905,-0.1324,0.2491,1,-0.4817,-0.7505,-0.4198
0.3714,1.1625,0.2905,0.3862,0.181,0,-0.4817,-0.7505,-0.4198
-0.3698,0.0465,0.2905,0.0093,-0.203,0,-0.4817,-0.7505,-0.7254
-0.3698,-0.2932,0.2905,-0.036,-0.3295,0,-0.4817,-0.7505,-0.4198
-0.7552,0.5317,0.2905,0.518,-0.4352,1,-0.4817,1.3293,-0.1141
-0.2215,0.5802,0.2905,0.559,-0.5056,1,-0.4817,1.3293,-0.7254
-0.77,-0.827,0.2905,-1.9743,-0.5635,0,-0.4817,-0.7505,-0.1141
-0.4884,-1.2637,0.2905,-2.0721,-0.5834,0,-0.4817,-0.7505,-0.7254
-0.7757,-0.1962,0.2905,-1.4076,-0.649,0,2.0712,-0.7505,-0.4198
0.6679,3.2976,1.203,1.8626,4.828,1,-0.4817,1.3293,3.4517
1.335,0.0465,1.203,0.406,2.9087,1,-0.4817,-0.7505,3.4517
3.4993,2.4727,1.203,1.0748,1.209,1,-0.4817,-0.7505,1.8216
-0.7478,-0.8755,1.203,0.5435,0.8655,1,2.0712,-0.7505,3.7573
-0.5995,0.8714,1.203,1.7563,0.4746,1,-0.4817,1.3293,1.8216
0.2973,-0.6329,1.203,0.6696,0.3064,1,-0.4817,-0.7505,2.0254
-0.5773,-0.2932,1.203,-0.1324,-0.0459,1,2.0712,-0.7505,1.8216
1.5247,0.4832,1.203,-0.3591,-0.1946,0,2.0712,-0.7505,3.7573
-0.7404,-0.9725,1.203,-0.1692,-0.5765,0,-0.4817,-0.7505,1.9235
2.1503,0.5802,1.203,-0.624,0.2052,1,-0.4817,-0.7505,-0.0123
-0.3327,-0.8755,1.203,-0.9868,-0.0294,1,-0.4817,-0.7505,-0.0123
-0.518,-0.6329,1.203,-0.685,-0.2376,1,2.0712,-0.7505,0.0896
-0.7404,0.2891,1.203,0.5704,-0.3765,0,-0.4817,1.3293,-0.0123
-0.518,-0.1962,1.203,-1.4175,-0.4322,0,-0.4817,-0.7505,-0.0123
-0.1474,-0.0506,1.203,-0.131,-0.4909,1,-0.4817,1.3293,-0.4198
-0.3994,-0.7299,1.203,-0.4158,-0.5424,1,-0.4817,1.3293,0.0896
-0.5921,0.3376,1.203,-0.1324,-0.593,1,-0.4817,1.3293,-0.0123
0.2973,-1.0211,0.2905,0.4315,0.6854,0,-0.4817,-0.7505,-0.5217
-0.4587,0.0465,0.2905,-0.1692,0.2955,1,2.0712,-0.7505,-0.1141
0.2973,0.4347,0.2905,-0.9825,-0.2202,0,-0.4817,-0.7505,0.2934
-0.3698,1.0169,0.2905,1.5055,-0.2528,0,-0.4817,1.3293,-0.5217
-0.7255,-0.7299,0.2905,-1.4076,-0.3959,0,2.0712,-0.7505,0.2934
-0.6885,-1.1666,0.2905,-2.6828,-0.4684,0,2.0712,-0.7505,-0.5217
-0.7181,-0.7784,0.2905,-0.8408,-0.5271,0,-0.4817,-0.7505,-0.1141
-0.2141,-0.924,0.2905,0.4344,-0.6001,0,-0.4817,-0.7505,-0.5217
-0.0733,0.0465,1.203,-0.4158,-0.0187,0,-0.4817,-0.7505,0.599
-0.4439,-0.2932,1.203,0.2927,-0.0541,1,-0.4817,-0.7505,0.3953
-0.7478,0.2406,1.203,-0.9825,-0.2799,1,2.0712,-0.7505,0.0896
-0.7107,-0.0991,1.203,0.9586,-0.4303,1,-0.4817,1.3293,0.7009
-0.7033,-0.8755,1.203,-1.7689,-0.497,0,-0.4817,1.3293,0.0896
