budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
32000000,129,2023,7.63,27.864,15.0,23.0,4,0,0,1,0,68
35000000,104,2023,6.2,22.604,33.0,30.0,4,0,0,1,1,69
40000000,108,2023,6.577,230.772,73.0,45.0,10,0,0,0,0,74
200000000,206,2023,7.494,205.74,90.0,55.0,10,0,0,1,0,77
95000000,91,2023,7.3,177.546,64.0,42.0,10,1,0,0,1,77
20000000,110,2023,7.65,168.232,71.0,23.0,10,1,1,0,1,83
13000000,133,2023,7.729,109.141,66.0,38.0,10,1,0,1,0,83
30000000,111,2023,6.005,95.054,19.0,14.0,10,1,1,0,1,74
20000000,110,2023,6.954,69.977,54.0,36.0,10,1,0,1,0,83
10000000,127,2023,8.4,66.003,34.0,20.0,10,1,0,1,0,77
15000000,169,2023,8.366,59.355,34.0,11.0,10,1,0,0,0,77
175000000,118,2023,6.587,44.135,58.0,53.0,10,0,0,0,0,83
12000000,118,2023,5.938,23.94,27.0,28.0,10,0,0,0,0,74
40000000,106,2023,7.424,13.021,10.0,46.0,10,0,0,1,0,83
175000000,95,2023,6.496,412.063,59.0,43.0,11,1,0,0,1,70
274800000,105,2023,6.184,288.112,58.0,30.0,11,0,0,0,1,68
100000000,157,2023,7.174,246.315,42.0,36.0,11,1,0,1,1,70
165000000,158,2023,6.479,236.736,52.0,42.0,11,1,0,0,0,89
15000000,106,2023,6.6,109.91,64.0,56.0,11,1,1,0,0,70
10000000,102,2023,6.763,90.825,155.0,37.0,11,1,0,0,1,68
20000000,117,2023,6.761,70.75,66.0,25.0,11,0,0,1,0,70
20000000,131,2023,7.067,70.134,68.0,34.0,11,1,0,1,0,70
16000000,117,2023,7.3,58.997,54.0,54.0,11,1,0,1,0,68
14000000,104,2023,6.455,47.822,55.0,45.0,11,1,0,1,1,70
80000000,129,2023,6.42,45.998,73.0,44.0,11,0,0,1,0,89
6000000,99,2023,7.638,18.062,73.0,37.0,11,1,0,1,0,68
3000000,104,2023,5.3,17.025,37.0,41.0,11,1,0,0,0,77
6500000,113,2023,5.7,16.215,64.0,35.0,11,1,0,0,0,72
250000000,119,2022,6.473,148.298,66.0,44.0,7,1,0,0,1,73
10000000,99,2022,6.673,52.933,52.0,38.0,7,0,1,0,0,66
24000000,126,2022,7.5,52.573,33.0,26.0,7,1,0,1,0,67
200000000,122,2022,7.0,49.809,103.0,40.0,7,0,0,0,0,67
90000000,105,2022,7.283,49.194,76.0,45.0,7,1,0,0,1,66
68000000,130,2022,6.863,41.82,52.0,31.0,7,1,1,0,1,71
45000000,94,2022,6.7,25.667,88.0,57.0,7,0,0,0,1,67
200000000,142,2022,6.7,91.669,66.0,41.0,4,1,0,0,1,59
80000000,137,2022,7.066,86.06,104.0,53.0,4,0,0,0,1,59
30000000,114,2022,6.8,54.414,102.0,53.0,4,0,0,0,1,56
30000000,107,2022,6.768,43.995,155.0,51.0,4,0,0,0,0,59
4000000,124,2022,7.159,35.277,106.0,65.0,4,1,0,1,0,62
40000000,125,2022,7.188,29.477,52.0,59.0,4,1,0,1,1,56
3000000,96,2022,5.4,24.708,68.0,37.0,4,0,0,0,0,62
22000000,87,2022,5.331,23.065,104.0,52.0,4,0,0,0,0,56
2620000,109,2022,5.8,17.666,40.0,52.0,4,0,1,0,0,59
