budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
180000000,102,2022,6.364,60.465,100.0,41.0,11,0,0,0,1,69
20000000,111,2022,7.4,59.683,52.0,61.0,11,1,0,0,1,60
90000000,139,2022,7.2,34.097,94.0,35.0,11,0,0,1,1,69
32000000,129,2022,7.263,26.48,73.0,47.0,11,0,0,1,1,58
100000000,136,2022,5.6,22.718,61.0,67.0,11,0,0,1,1,69
10000000,102,2022,7.0,17.336,78.0,45.0,11,0,0,1,1,59
7000000,90,2022,7.0,9.004,66.0,43.0,11,1,0,0,0,69
75000000,124,2021,7.402,179.369,71.0,39.0,11,1,0,0,1,52
25000000,107,2021,5.977,76.931,66.0,34.0,11,1,1,0,1,65
200000000,156,2021,6.883,67.618,79.0,42.0,11,1,0,0,1,61
160000000,118,2021,6.8,63.165,109.0,46.0,11,0,0,0,0,61
64000000,97,2021,7.196,42.768,25.0,22.0,11,1,0,0,1,58
40000000,133,2021,6.981,38.575,42.0,38.0,11,0,0,1,1,65
50000000,144,2021,7.678,37.248,89.0,52.0,11,0,0,1,1,52
75000000,158,2021,6.608,30.115,64.0,54.0,11,1,0,1,1,65
18000000,117,2021,6.835,20.417,75.0,49.0,11,0,0,1,1,61
8300000,109,2021,7.25,19.051,42.0,35.0,11,0,0,1,0,52
11000000,98,2021,7.1,18.977,24.0,19.0,11,1,0,1,0,58
200000000,115,2020,6.9,74.474,52.0,64.0,9,0,0,1,1,49
14000000,105,2020,7.191,70.32,39.0,27.0,9,1,0,1,1,49
35000000,130,2020,7.708,23.447,66.0,43.0,9,0,0,1,0,47
15000000,105,2020,6.279,22.428,43.0,42.0,9,0,1,0,1,49
3500000,93,2020,6.519,22.309,106.0,44.0,9,0,0,1,0,49
568443,82,2020,5.7,15.035,50.0,58.0,9,0,0,0,0,46
7200000,97,2020,6.0,11.839,49.0,45.0,9,0,0,1,0,49
30000000,109,2020,7.318,38.623,44.0,44.0,10,0,0,0,0,50
2500000,104,2020,6.387,36.114,47.0,47.0,10,0,1,0,1,46
12000000,103,2020,8.211,33.372,57.0,28.0,10,0,0,0,0,59
16000000,137,2020,6.1,32.086,31.0,39.0,10,0,1,0,0,58
25000000,128,2020,6.1,28.492,36.0,49.0,10,0,0,0,0,59
20000000,100,2020,5.535,27.99,82.0,59.0,10,0,0,0,1,58
18000000,94,2020,6.134,26.689,44.0,25.0,10,0,1,1,1,59
17800000,100,2020,7.1,22.714,50.0,35.0,10,0,0,0,0,50
9000000,96,2020,6.409,21.066,32.0,31.0,10,0,1,0,1,59
2000000,84,2020,6.139,17.101,41.0,54.0,10,0,1,0,0,58
25000000,93,2020,7.858,15.065,33.0,36.0,10,0,0,1,1,58
1000000,98,2020,5.2,7.184,21.0,16.0,10,0,0,0,0,58
