id,budget,revenue,runtime,vote_average,vote_count,year,month,genres,overview
655082.0,26000000.0,13000000.0,108.0,6.265,616.0,2021,10,"['Romance', 'Drama']","The French government is asking Gustave Eiffel to design something spectacular for the 1889 Paris World Fair, but he simply wants to design the subway—until he crosses paths with a mysterious woman from his past."
760104.0,1000000.0,14740889.0,106.0,6.727,2666.0,2022,3,"['Horror', 'Thriller', 'Mystery']","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
493529.0,151000000.0,208200000.0,134.0,7.387,3067.0,2023,3,"['Adventure', 'Fantasy', 'Comedy']","A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
906221.0,45000000.0,52000000.0,112.0,6.684,415.0,2023,2,"['Comedy', 'Drama', 'Romance']","Mike Lane takes to the stage again after a lengthy hiatus, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. For what he hopes will be one last hurrah, Mike heads to London with a wealthy socialite who lures him with an offer he can’t refuse… and an agenda all her own. With everything on the line, once Mike discovers what she truly has in mind, will he—and the roster of hot new dancers he’ll have to whip into shape—be able to pull it off?"
976573.0,200000000.0,496000000.0,102.0,7.666,3842.0,2023,6,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Adventure']","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common."
764686.0,5000000.0,2178083.0,98.0,6.622,143.0,2021,10,['Drama'],"Raf and Julie, a couple on the verge of breaking up, find themselves in an emergency ward bordering on collapse on the evening of a Parisian Yellow Vest protest. Their encounter with Yann, an angry and injured demonstrator, will shatter each person's certainties and prejudices. Outside, the tension escalates."
668482.0,25000000.0,35600000.0,117.0,6.778,683.0,2022,11,"['Family', 'Comedy', 'Fantasy']","An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results."
898230.0,1900000.0,3400000.0,76.0,7.0,3.0,2023,2,"['Adventure', 'Animation', 'Family', 'Fantasy']","Kai and Gerda live in a cozy quiet town, but suddenly the Ice Spirits come there intending to freeze everyone. However, Ila, a little wizardess of Mirrorlands, comes to help the heroes. Together they go to the magic world of Mirrorlands to get the Spirits back."
1087117.0,100000.0,56743.0,78.0,0.0,0.0,2023,9,['Fantasy'],A young computer hack in the '80s discovers a cocaine time machine this ensues with monsters and cocaine dealers trying to sell his cocaine time machine a fast and furious billion art film about the '80s and time travel
763285.0,40000000.0,51783040.0,136.0,6.668,1918.0,2022,3,"['Thriller', 'Action', 'Drama']","Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million."
507089.0,20000000.0,294803785.0,110.0,7.658,3478.0,2023,10,"['Horror', 'Mystery']","Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems."
820525.0,14000000.0,10600000.0,93.0,6.967,724.0,2023,9,"['Romance', 'Drama']","Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment."
615777.0,78000000.0,63363579.0,189.0,7.418,2691.0,2022,12,"['Drama', 'Comedy']","A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s."
804095.0,40000000.0,45629909.0,151.0,7.645,2065.0,2022,11,['Drama'],"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth."
663260.0,10722240.0,9738741.0,130.0,7.363,1066.0,2021,9,"['Mystery', 'Thriller', 'Drama']","Matthieu is a young and talented black box analyst on a mission to solve the reason behind the deadly crash of a brand new aircraft. Yet, when the case is closed by authorities, Matthieu cannot help but sense there is something wrong with the evidence. As he listens to the tracks again, he starts detecting some seriously disturbing details. Could the tape have been modified? Going against his boss' orders, Matthieu begins his own rogue investigation - an obsessional and dangerous quest for truth that will quickly threaten far more than his career..."
511809.0,100000000.0,74500000.0,156.0,7.013,1443.0,2021,12,"['Drama', 'Romance', 'Crime']","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
980489.0,60000000.0,121700000.0,135.0,7.877,2156.0,2023,8,"['Adventure', 'Action', 'Drama']",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.
406759.0,146000000.0,67300000.0,131.0,6.331,2895.0,2022,2,"['Science Fiction', 'Adventure', 'Action']",A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.
